#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 3.5 4 8 8.25 112.0617568530168 0.03158029419505226
2 2.25 3.5 4 8.25 8.5 100.6521478429376 0.02881384219172389
2 2.25 3.5 4 8.5 8.75 90.64731757388488 0.02627742863680282
2 2.25 3.5 4 8.75 9 81.84520587657305 0.02395702369244646
2 2.25 3.5 4 9 9.25 74.07676836401113 0.0218387380191416
2 2.25 3.5 4 9.25 9.5 67.2000616365163 0.01990718181471607
2 2.25 3.5 4 9.5 9.75 61.09529508765304 0.01814629695170566
2 2.25 3.5 4 9.75 10 55.66100431225402 0.01654258803819886
2 2.25 3.5 4 10 20 656.4507747210538 0.4636561001008204
2 2.25 4 4.5 0 0.25 -1308888.640382898 711.8090355561449
2 2.25 4 4.5 0.25 0.5 -3773479.236600057 1550.044606819567
2 2.25 4 4.5 0.5 0.75 -5805083.261837411 2341.704703277959
2 2.25 4 4.5 0.75 1 -7199937.29395768 2849.738717108552
2 2.25 4 4.5 1 1.25 -7781624.644153613 3856.63009198782
2 2.25 4 4.5 1.25 1.5 -7075583.735766651 3553.598333045472
2 2.25 4 4.5 1.5 1.75 -5317215.448880766 2648.00475740608
2 2.25 4 4.5 1.75 2 -3316579.440146742 1454.824600481267
2 2.25 4 4.5 2 2.25 -1712282.890325893 531.3167527171065
2 2.25 4 4.5 2.25 2.5 -722129.7461794893 78.89621842489782
2 2.25 4 4.5 2.5 2.75 -239910.8050388813 40.87763614554189
2 2.25 4 4.5 2.75 3 -55890.04562001988 35.29475705556078
2 2.25 4 4.5 3 3.25 -3575.008532299636 1.892489098772206
2 2.25 4 4.5 3.25 3.5 3926.136470786139 1.645034381556856
2 2.25 4 4.5 3.5 3.75 1482.76860577107 0.5172296603123414
2 2.25 4 4.5 3.75 4 1164.033641613663 0.4229493335838015
2 2.25 4 4.5 4 4.25 953.7186463383094 0.3435032673652358
2 2.25 4 4.5 4.25 4.5 788.0472666853983 0.2781387551195849
2 2.25 4 4.5 4.5 4.75 656.258629210508 0.2250804900478443
2 2.25 4 4.5 4.75 5 550.4648986646183 0.1825819574238494
2 2.25 4 4.5 5 5.25 464.8167810026569 0.1484583711742289
2 2.25 4 4.5 5.25 5.5 394.9289383740264 0.1211105637251535
2 2.25 4 4.5 5.5 5.75 337.4801317367923 0.09929725062778516
2 2.25 4 4.5 5.75 6 289.9312250120565 0.08714392520988667
2 2.25 4 4.5 6 6.25 250.3224521385021 0.08028637798028626
2 2.25 4 4.5 6.25 6.5 217.1288888036794 0.07332903141355018
2 2.25 4 4.5 6.5 6.75 189.1537778635785 0.06656712456577907
